POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;25;28;1:16.875;+7.852;+4.541;191.4;33;BMW Team RLL;GTLM;;;BMW M8 GTE;M;412;17;3;66;74;3;;7914;;;Bruno;Spengler;Platinum;;CAN;;903;1;Platinum;;;Connor;De Phillippi;Gold;;USA;;698;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;912;38;1:17.351;+8.328;+0.476;190.2;38;Porsche GT Team;GTLM;;;Porsche 911 RSR - 19;M;740;174;3;87;112;3;;7919;;;Earl;Bamber;Platinum;;NZL;;651;4;Platinum;;;Laurens;Vanthoor;Platinum;;BEL;;1241;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;3;8;1:17.383;+8.360;+0.032;190.2;41;Corvette Racing;GTLM;;;Chevrolet Corvette C8.R;M;748;23;3;83;105;3;;7913;;;Antonio;Garcia;Platinum;;ESP;;12;1;Platinum;;;Jordan;Taylor;Platinum;;USA;;13;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;24;38;1:17.415;+8.392;+0.032;190.1;40;BMW Team RLL;GTLM;;;BMW M8 GTE;M;434;17;3;66;74;3;;7915;;;Jesse;Krohn;Gold;;FIN;;2005;1;Gold;;;John;Edwards;Platinum;;USA;;942;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;911;34;1:17.442;+8.419;+0.027;190.0;35;Porsche GT Team;GTLM;;;Porsche 911 RSR - 19;M;739;174;3;87;112;3;;7920;;;Nick;Tandy;Platinum;;GBR;;124;2;Platinum;;;Fred;Makowiecki;Platinum;;FRA;;2003;3;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;4;34;1:17.558;+8.535;+0.116;189.7;42;Corvette Racing;GTLM;;;Chevrolet Corvette C8.R;M;749;23;3;83;105;3;;7912;;;Oliver;Gavin;Platinum;;GBR;;14;1;Platinum;;;Tommy;Milner;Platinum;;USA;;15;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;11;9;1:20.346;+11.323;+2.788;183.2;32;GRT Grasser Racing Team;GTD;;;Lamborghini Huracan GT3;M;255;151;4;13;1609;3;;7999;;;Richard;Heistand;Bronze;;USA;;1817;1;Bronze;;;Steijn;Schothorst;Silver;;NLD;;2008;2;Silver;;;Richard;Westbrook;Platinum;;GBR;;16;3;Platinum;;;;;;;;;;;;;;;;;;;;;
18;16;6;1:20.479;+11.456;+0.133;182.9;36;Wright Motorsports;GTD;;;Porsche 911 GT3R;M;857;111;4;93;112;3;;7970;;;Ryan;Hardwick;Bronze;;USA;;1256;1;Bronze;;;Patrick;Long;Platinum;;USA;;27;2;Platinum;;;Jan;Heylen;Silver;;BEL;;184;3;Silver;;;;;;;;;;;;;;;;;;;;;
19;12;9;1:20.501;+11.478;+0.022;182.8;37;AIM VASSER SULLIVAN;GTD;;;Lexus RC F GT3;M;576;251;4;46;7644;3;;7969;;;Frankie;Montecalvo;Silver;;USA;;1279;1;Silver;;;Townsend;Bell;Gold;;USA;;117;2;Gold;;;Aaron;Telitz;Silver;;USA;;1780;4;Silver;;;;;;;;;;;;;;;;;;;;;
20;86;28;1:20.666;+11.643;+0.165;182.4;30;Meyer Shank Racing w/Curb-Agajanian;GTD;;;Acura NSX GT3;M;808;268;4;43;7641;3;;7924;;;Mario;Farnbacher;Gold;;DEU;;318;1;Gold;;;Matt;McMurry;Silver;;USA;;393;2;Silver;;;Shinya;Michimi;Silver;;JPN;;1057;3;Silver;;;;;;;;;;;;;;;;;;;;;
21;96;6;1:20.879;+11.856;+0.213;181.9;34;Turner Motorsport;GTD;;;BMW M6 GT3;M;38;38;4;17;74;3;;7974;;;Bill;Auberlen;Gold;;USA;;1991;1;Gold;;;Robby;Foley;Silver;;USA;;1302;2;Silver;;;Dillon;Machavern;Silver;;USA;;463;3;Silver;;;;;;;;;;;;;;;;;;;;;
22;57;7;1:20.929;+11.906;+0.050;181.8;34;Heinricher Racing w/MSR Curb-Agajanian;GTD;;;Acura NSX GT3;M;807;268;4;43;7641;3;;7925;;;Alvaro;Parente;Platinum;;PRT;;1583;1;Platinum;;;Misha;Goikhberg;Silver;;RUS;;168;2;Silver;;;Trent;Hindman;Silver;;USA;;244;3;Silver;;;;;;;;;;;;;;;;;;;;;
23;63;10;1:20.973;+11.950;+0.044;181.7;13;Scuderia Corsa;GTD;;;Ferrari 488 GT3;M;37;25;4;16;106;3;;7971;;;Cooper;MacNeil;Silver;;USA;;113;1;Silver;;;Toni;Vilander;Platinum;;FIN;;21;2;Platinum;;;Jeff;Westphal;Silver;;USA;;682;3;Silver;;;;;;;;;;;;;;;;;;;;;
24;14;10;1:20.983;+11.960;+0.010;181.7;32;AIM VASSER SULLIVAN;GTD;;;Lexus RC F GT3;M;577;251;4;46;7644;3;;7968;;;Daniel;Morad;Silver;;CAN;;1144;1;Silver;;;Jack;Hawksworth;Gold;;GBR;;838;2;Gold;;;Michael;De Quesada;Silver;;USA;;1136;4;Silver;;;;;;;;;;;;;;;;;;;;;
25;44;15;1:21.031;+12.008;+0.048;181.6;32;GRT Magnus;GTD;;;Lamborghini Huracan GT3;M;32;32;4;13;1609;3;;7923;;;John;Potter;Bronze;;USA;;670;1;Bronze;;;Andy;Lally;Gold;;USA;;25;2;Gold;;;Spencer;Pumpelly;Silver;;USA;;64;3;Silver;;;;;;;;;;;;;;;;;;;;;
26;74;29;1:21.066;+12.043;+0.035;181.5;30;Riley Motorsports;GTD;;;Mercedes-AMG GT3;M;738;35;4;45;7643;3;;7927;;;Gar;Robinson;Silver;;USA;;861;1;Silver;;;Lawson;Aschenbach;Gold;;USA;;380;2;Gold;;;Ben;Keating;Bronze;;USA;;378;3;Bronze;;;;;;;;;;;;;;;;;;;;;
27;48;19;1:21.192;+12.169;+0.126;181.2;31;Paul Miller Racing;GTD;;;Lamborghini Huracan GT3;M;449;34;4;13;1609;3;;7921;;;Bryan;Sellers;Gold;;USA;;18;1;Gold;;;Madison;Snow;Silver;;USA;;155;2;Silver;;;Corey;Lewis;Silver;;USA;;763;3;Silver;;;;;;;;;;;;;;;;;;;;;
28;23;19;1:21.703;+12.680;+0.511;180.1;36;Heart Of Racing Team;GTD;;;Aston Martin Vantage GT3;M;767;294;4;18;73;3;;7922;;;Ian;James;Silver;;USA;;453;3;Silver;;;Roman;De Angelis;Silver;;CAN;;1379;2;Silver;;;Darren;Turner;Platinum;;;;189;4;Platinum;;;;;;;;;;;;;;;;;;;;;
